en,kor,cc
"If you don't study hard, you'll continue to get poor scores.",열심히 공부하지 않으면 앞으로도 낮은 점수를 받게 될 거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #27553 (CK) & #8363888 (Eunhee)
It's been three years since I began studying French.,내가 프랑스어 공부를 시작한지 삼 년이 됐어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2712535 (CK) & #8363889 (Eunhee)
I don't know much about science.,난 과학에 대해 잘 몰라.,CC-BY 2.0 (France) Attribution: tatoeba.org #6130474 (mailohilohi) & #8363686 (Eunhee)
I feel like this isn't going to end well.,좋게 끝날 것 같지 않은 기분이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #5009132 (CK) & #8362535 (Eunhee)
Almost everyone expected Tom to win.,거의 모두가 톰이 이길 것이라고 예상했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #11104382 (CK) & #11107593 (intertime)
Where is today's paper?,오늘자 신문은 어디 있습니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #242597 (CK) & #11106517 (intertime)
Tom considered changing his job.,톰은 직업을 바꾸는 것을 고려했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1026646 (CK) & #5526074 (raining211)
I'll be there at 2:30.,2시 30분에 거기 있을게.,CC-BY 2.0 (France) Attribution: tatoeba.org #3817957 (CK) & #8361871 (Eunhee)
I'm not sure what they want.,그들이 원하는 게 뭔지 모르겠다.,CC-BY 2.0 (France) Attribution: tatoeba.org #5244080 (CK) & #8549579 (okja)
I want to go out with Tom.,나는 톰과 사귀고 싶다.,CC-BY 2.0 (France) Attribution: tatoeba.org #5600180 (CK) & #11110736 (intertime)
A human body consists of a countless number of cells.,인간의 몸은 수많은 세포들로 구성되어 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #270630 (CM) & #8361856 (Eunhee)
We've never lived in Australia.,우린 호주에서 산 적 없어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7149728 (CK) & #8396626 (Eunhee)
We all got up and started dancing.,우리는 모두 자리에서 일어나 춤추기 시작했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6662493 (CK) & #11104826 (intertime)
She is easygoing.,그녀는 대범하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #311914 (CK) & #11105304 (intertime)
I couldn't come to the birthday party.,난 생일 파티에 못 갔어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1120650 (ellasevia) & #8729107 (Eunhee)
Tom was diagnosed with Asperger's syndrome.,톰은 아스퍼거 증후군이라고 진단받았어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7794999 (Hybrid) & #8358533 (Eunhee)
What do you think now?,지금 무슨 생각해?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886756 (CK) & #11106576 (intertime)
Tom is having a hard time focusing.,톰은 집중하려고 애를 쓰고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3428390 (CK) & #8421401 (Eunhee)
It's not easy writing a love letter in English.,영어로 러브레터를 쓰는 것은 쉽지 않다.,CC-BY 2.0 (France) Attribution: tatoeba.org #755264 (sctld) & #11110764 (intertime)
"Thanks for your help, Tom.","도와줘서 고마워, 톰.",CC-BY 2.0 (France) Attribution: tatoeba.org #4950766 (CK) & #4952713 (rainbow4us)
Come home right away.,바로 집으로 오세요.,CC-BY 2.0 (France) Attribution: tatoeba.org #2782444 (CK) & #11110777 (intertime)
She waited for him for hours.,그녀는 그를 몇 시간이고 기다렸다.,CC-BY 2.0 (France) Attribution: tatoeba.org #312821 (CK) & #11105188 (intertime)
"When I was a boy, I was addicted to reading detective stories.","내가 어렸을 때, 나는 추리 소설 중독자였어.",CC-BY 2.0 (France) Attribution: tatoeba.org #267961 (CM) & #8361829 (Eunhee)
Please don't quit.,그만두지 말아주세요.,CC-BY 2.0 (France) Attribution: tatoeba.org #2249782 (CK) & #11106886 (intertime)
He is like a frog in a well.,그는 우물 안의 개구리 같다.,CC-BY 2.0 (France) Attribution: tatoeba.org #971814 (Skaty) & #11104602 (intertime)
Tom asked me for money.,톰은 나에게 돈을 달라고 했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2821594 (CK) & #11110804 (intertime)
My cat will love this.,우리 고양이가 이것을 좋아할 것이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1792465 (Spamster) & #11105949 (intertime)
I don't like chocolate.,나는 초콜렛을 좋아하지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #1589467 (Zaghawa) & #8355844 (Eunhee)
Is nicotine as addictive as heroin?,니코틴이 헤로인만큼 중독성 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #8009430 (CK) & #8361833 (Eunhee)
Do you believe this has any use?,이게 쓸모가 있을거라고 생각해?,CC-BY 2.0 (France) Attribution: tatoeba.org #3627320 (karloelkebekio) & #7999554 (ciwlx)
He came out of the shower naked.,그는 알몸으로 샤워실에서 나왔다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1983751 (Spamster) & #8549641 (okja)
Tom clasped his hands behind his head.,톰은 머리 뒤로 손을 꽉 잡았어.,CC-BY 2.0 (France) Attribution: tatoeba.org #5291817 (Hybrid) & #8462523 (Eunhee)
He is too young to go there alone.,그는 그곳을 혼자서 가기엔 너무 어리다.,CC-BY 2.0 (France) Attribution: tatoeba.org #280565 (CK) & #11106539 (intertime)
He does not even know how to sign his name.,그 사람은 자기 이름을 싸인하는 법조차 몰라.,CC-BY 2.0 (France) Attribution: tatoeba.org #488200 (saasmath) & #8363592 (Eunhee)
We'd been warned.,우린 경고 받았었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8513369 (CK) & #8533736 (Eunhee)
Most people don't care about things like that.,대부분의 사람들은 그런 일에 신경쓰지 않는다.,CC-BY 2.0 (France) Attribution: tatoeba.org #11099218 (CK) & #11107565 (intertime)
No one encouraged her.,아무도 그 사람을 격려하지 않았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #40334 (Swift) & #10152628 (Eunhee)
This novel bores me.,이 소설 재미 없어.,CC-BY 2.0 (France) Attribution: tatoeba.org #58476 (CK) & #11105313 (intertime)
Please tell him to wait.,그에게 기다리라고 말해 주세요.,CC-BY 2.0 (France) Attribution: tatoeba.org #464989 (CK) & #11105235 (intertime)
I'm bigger than you.,나는 너보다 크다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2548270 (CK) & #11105133 (intertime)
He will come soon.,그는 곧 올 것이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #394248 (CK) & #11105679 (intertime)
Marriage is the union of a man and woman.,남녀간의 결합을 결혼이라고 하지.,CC-BY 2.0 (France) Attribution: tatoeba.org #238720 (CM) & #8357741 (Eunhee)
Tom has an appointment at 2:30.,톰은 2시 30분에 약속이 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1025439 (CK) & #8361492 (Eunhee)
Have you tested it yet?,한번 시도해봤어?,CC-BY 2.0 (France) Attribution: tatoeba.org #11165262 (Layla) & #11156744 (Eunhee)
I thought Tom was having a party.,나는 톰이 파티를 열고 있는 줄 알았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2541107 (CK) & #11107018 (intertime)
Tom learned how to read and write at school.,톰은 학교에서 읽고 쓰는 법을 배웠어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6900664 (kaiperkins271) & #8363816 (Eunhee)
It's dark in the basement.,지하실은 어두워.,CC-BY 2.0 (France) Attribution: tatoeba.org #3736686 (CK) & #8365097 (Eunhee)
That's your funeral.,그건 네 책임이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #42483 (CM) & #6305224 (Queserasera)
I'm sorry for calling so late. I just wanted to hear your voice.,이런 늦은 시간에 미안해. 목소리 듣고 싶어서 전화를 걸어버렸네.,CC-BY 2.0 (France) Attribution: tatoeba.org #3612977 (CK) & #8399341 (Eunhee)
You should be careful what you say.,말 조심해야 한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #239681 (CK) & #11105516 (intertime)
"If someone who doesn't know your background says that you sound like a native speaker, it means they probably noticed something about your speaking that made them realize you weren't a native speaker. In other words, you don't really sound like a native speaker.",만일 네 사정도 잘 모르는 사람이 원어민 같다고 말한다면 그건 그 사람이 네가 원어민이 아니라고 깨닫게 해주는 뭔가를 네 말 속에서 캐치해 낸 것이겠지. 다르게 표현하자면 넌 원어민처럼 말하지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #953936 (CK) & #8813370 (Eunhee)
This technique isn't easy to learn.,이 기술은 배우기 쉽지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #7633847 (kaesekaiser) & #8363824 (Eunhee)
Did you take the book back to the library?,그 책을 도서관에 반납했어?,CC-BY 2.0 (France) Attribution: tatoeba.org #43884 (CK) & #11106001 (intertime)
Tom is acting really weird right now.,톰은 지금 진짜 이상하게 행동하고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2539368 (CK) & #8362123 (Eunhee)
We don't know anything about Tom's past.,우린 톰의 과거에 대해 아무것도 몰라.,CC-BY 2.0 (France) Attribution: tatoeba.org #3821574 (CK) & #8364899 (Eunhee)
Was your elementary school a large school?,네가 다니던 초등학교는 큰 학교야?,CC-BY 2.0 (France) Attribution: tatoeba.org #6938714 (CK) & #8394161 (Eunhee)
They screamed.,그 사람들은 비명을 질렀어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111362 (CK) & #8363447 (Eunhee)
Bring wine.,와인을 가져와.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111942 (CK) & #8368392 (Eunhee)
Tom has decided to go skiing next weekend.,톰은 다음주에 스키타러 가기로 결심했다더라.,CC-BY 2.0 (France) Attribution: tatoeba.org #7541464 (CK) & #8361442 (Eunhee)
This is a catastrophe.,이것은 재앙이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2547047 (CK) & #11106384 (intertime)
We'll need a lot more than this.,우리는 이것보다 더 많이 필요할거야,CC-BY 2.0 (France) Attribution: tatoeba.org #9688040 (CK) & #9694248 (ST_Young)
Where do you want to live?,어디에서 살고싶어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2776713 (CK) & #8358295 (Eunhee)
They started studying English last year.,그들은 작년부터 영어를 공부하기 시작했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #306361 (CK) & #11105305 (intertime)
Tom is swimming in the neighbor's pool.,톰은 이웃의 수영장에서 수영하고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3410922 (CK) & #10585596 (ssuss32)
I want Tom put in prison.,나는 탐을 감옥에 넣고 싶어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2012149 (CK) & #8345603 (ljj)
We're moving to Boston at the end of this month.,우리는 이달 말에 보스턴으로 이사를 합니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3148264 (CK) & #6822012 (yesjustryan)
Do you have a house?,집 있어요?,CC-BY 2.0 (France) Attribution: tatoeba.org #2647714 (CK) & #8396631 (Eunhee)
Something doesn't make any sense.,어딘가 전혀 말이 안 되는 부분이 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2276704 (CK) & #3680988 (Eunhee)
When is the next World Cup?,다음 월드컵이 언제지?,CC-BY 2.0 (France) Attribution: tatoeba.org #10075786 (sundown) & #11110769 (intertime)
I prefer spring to autumn.,가을보다 봄이 좋아요.,CC-BY 2.0 (France) Attribution: tatoeba.org #258495 (CK) & #5383180 (rainbow4us)
How's your headache?,두통은 좀 어때?,CC-BY 2.0 (France) Attribution: tatoeba.org #11017246 (CM) & #11106671 (intertime)
Don't treat me like that.,나를 그렇게 대하지 마.,CC-BY 2.0 (France) Attribution: tatoeba.org #1125967 (CK) & #5526657 (raining211)
The fact Tom did that can't be denied.,톰이 그걸 했다는 사실은 부인할 수 없는 사실이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #7221742 (CK) & #8453575 (Eunhee)
Tom never did like Mary.,톰은 메리를 좋아했던 적이 없다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6440032 (CK) & #11597236 (cherryband)
My birthday is one month from today.,내 생일은 오늘부터 한달 후야.,CC-BY 2.0 (France) Attribution: tatoeba.org #251417 (Swift) & #8361903 (Eunhee)
When will you come?,언제쯤 올거야?,CC-BY 2.0 (France) Attribution: tatoeba.org #1312116 (Eldad) & #7965174 (EstasKorea)
Your son isn't like you.,네 아들은 너를 닮지 않았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #10004505 (DJ_Saidez) & #11107525 (intertime)
That's very kind.,참 친절하구나.,CC-BY 2.0 (France) Attribution: tatoeba.org #2251317 (CK) & #8358576 (Eunhee)
We know what Tom is going through.,우리는 톰이 겪고있는 것을 알고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #5729408 (CM) & #9689589 (ST_Young)
I play the piano.,나는 피아노를 친다.,CC-BY 2.0 (France) Attribution: tatoeba.org #382917 (ver) & #11106484 (intertime)
Tom wasn't breathing.,톰은 숨을 쉬지 않고 있었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #8948028 (CK) & #11107481 (intertime)
Did you like the flowers that I sent you?,내가 너한테 보낸 꽃 마음에 들었어?,CC-BY 2.0 (France) Attribution: tatoeba.org #5112559 (Airvian) & #8355861 (Eunhee)
Tom agreed.,톰이 동의했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111204 (CK) & #8368299 (Eunhee)
Tom is starving.,톰은 배가 너무 고프다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2203821 (CK) & #11105160 (intertime)
Where's the butter?,버터 어디 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #1841526 (CK) & #11105477 (intertime)
Tom is a rough man.,톰은 거친 남자야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8366906 (CK) & #8367070 (Eunhee)
Greece has many islands.,그리스에는 섬이 많다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2122300 (freddy1) & #10576550 (ssuss32)
Tom practices piano every day.,톰은 매일 피아노를 연습해.,CC-BY 2.0 (France) Attribution: tatoeba.org #6266393 (CK) & #8365262 (Eunhee)
Your hand is shaking.,네 손이 떨리고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3723896 (CM) & #8365867 (Eunhee)
I hope we don't have to wait for too long.,많이 안 기다려도 되면 좋겠다,CC-BY 2.0 (France) Attribution: tatoeba.org #67663 (CK) & #8311653 (ljj)
Anybody here?,누구 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2092543 (CK) & #8363399 (Eunhee)
Tom folded the paper before handing it to Mary.,톰은 종이를 접어 메리에게 건넸다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1094074 (CK) & #11110789 (intertime)
Tom swims well for his age.,톰은 나이에 비해 수영을 잘해.,CC-BY 2.0 (France) Attribution: tatoeba.org #5549673 (CK) & #8386632 (Eunhee)
She is always at the bottom of the class.,그녀는 항상 반에서 꼴찌입니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #310387 (darinmex) & #4963089 (rainbow4us)
Bring wine.,와인 가져와.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111942 (CK) & #8368391 (Eunhee)
Please sit.,앉아 줘.,CC-BY 2.0 (France) Attribution: tatoeba.org #478180 (CK) & #8368164 (Eunhee)
I'm in charge now.,이제 내가 책임을 지고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4014124 (CK) & #5526098 (raining211)
A bird can fly.,새는 날 수 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #812362 (Zaphod) & #11106362 (intertime)
There were a few children in the room.,몇 명의 아이들이 방에 있었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #319495 (CK) & #6304258 (Queserasera)
I should've come with you.,너랑 같이 갔어야 했는데.,CC-BY 2.0 (France) Attribution: tatoeba.org #6267824 (CK) & #8365196 (Eunhee)
Tom is installing new software.,톰은 새로운 소프트웨어를 설치하고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2957139 (CK) & #8365240 (Eunhee)
Please tidy up your bedroom.,네 침실 좀 정리해라.,CC-BY 2.0 (France) Attribution: tatoeba.org #2422948 (_undertoad) & #5526778 (raining211)
I don't know how to pronounce his name.,나는 그의 이름을 어떻게 발음해야 하는지 모른다.,CC-BY 2.0 (France) Attribution: tatoeba.org #260753 (CK) & #11105689 (intertime)
"For the first time in ages, I slept late.",오랜만에 늦게까지 잤는데.,CC-BY 2.0 (France) Attribution: tatoeba.org #3932232 (jm) & #3718340 (rainbow4us)
Tom is ashamed of his body.,톰은 자기 몸을 창피해해.,CC-BY 2.0 (France) Attribution: tatoeba.org #3419977 (CK) & #8369692 (Eunhee)
I read several books a week.,난 일주일에 책을 여러 권 읽어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8560376 (CK) & #8560378 (Eunhee)
I think that this is a turning point.,이게 전환점인 것 같아.,CC-BY 2.0 (France) Attribution: tatoeba.org #8297100 (CK) & #8367203 (Eunhee)
She is more beautiful than any other girl.,그녀는 누구보다도 아름다워요.,CC-BY 2.0 (France) Attribution: tatoeba.org #312167 (CK) & #4846819 (kinsella)
Save it for later.,나중을 위해 아껴둬.,CC-BY 2.0 (France) Attribution: tatoeba.org #2648463 (CK) & #8368397 (Eunhee)
"Strictly speaking, Chinese consists of hundreds of dialects.","엄밀히 말하자면, 중국어는 수백 개의 방언들로 구성되어 있어.",CC-BY 2.0 (France) Attribution: tatoeba.org #239509 (Dejo) & #8365279 (Eunhee)
It's getting dark. Please turn on the light.,어두워지고 있어. 불 켜줘.,CC-BY 2.0 (France) Attribution: tatoeba.org #6846868 (CK) & #8365098 (Eunhee)
Water reflects light.,물은 빛을 반사한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #270802 (CK) & #6305442 (Queserasera)
That would make a great gift.,좋은 선물이 되겠다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4500920 (CK) & #6820147 (yesjustryan)
That hurts.,아파.,CC-BY 2.0 (France) Attribution: tatoeba.org #462526 (lukaszpp) & #6305067 (Queserasera)
Tom escaped.,톰이 빠져나갔어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111182 (CK) & #8368285 (Eunhee)
What're you doing?,뭐하고 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #1839618 (CK) & #11105696 (intertime)
It's nothing I can't handle.,내가 감당할 수 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #4703700 (Hybrid) & #8472777 (Eunhee)
You've deceived me before.,너는 날 속인 적이 있었지.,CC-BY 2.0 (France) Attribution: tatoeba.org #4849984 (CK) & #8356289 (Eunhee)
This book is difficult to understand.,이 책은 해석하기 어려워.,CC-BY 2.0 (France) Attribution: tatoeba.org #1177011 (bart) & #8361873 (Eunhee)
Tom said I looked tired.,톰이 내가 피곤해보인다고 말했어,CC-BY 2.0 (France) Attribution: tatoeba.org #5852918 (CK) & #8358273 (Eunhee)
"Usually, things don't work like that.",보통은 그런 식으로 돌아가지 않죠.,CC-BY 2.0 (France) Attribution: tatoeba.org #9064006 (CK) & #11104854 (intertime)
We overslept.,우린 늦잠잤어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2107667 (CK) & #8363412 (Eunhee)
I've always been an independent person.,난 전부터 항상 독립적인 사람이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8532653 (CK) & #8533678 (Eunhee)
"I looked, but I didn't see anything.",봤지만 아무것도 안 보였다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1059112 (Brian255) & #11105840 (intertime)
We don't lie.,우리는 거짓말을 하지 않아요.,CC-BY 2.0 (France) Attribution: tatoeba.org #2241082 (CK) & #5254832 (rainbow4us)
Can I take a message?,메세지를 전해 드릴까요?,CC-BY 2.0 (France) Attribution: tatoeba.org #54359 (CK) & #3684953 (rainbow4us)
I speak French a lot.,난 프랑스어를 잘해.,CC-BY 2.0 (France) Attribution: tatoeba.org #8407342 (CK) & #8410351 (Eunhee)
I was in New York for a few days.,나는 며칠 동안 뉴욕에 있었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #252511 (CK) & #11105677 (intertime)
They live on the 12th floor of this condo.,그들은 이 맨션 12층에 산다.,CC-BY 2.0 (France) Attribution: tatoeba.org #306045 (CK) & #11104607 (intertime)
Turn right.,오른쪽으로 돌아.,CC-BY 2.0 (France) Attribution: tatoeba.org #464290 (lukaszpp) & #8368158 (Eunhee)
Tom nodded.,톰이 고개를 끄덕였어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1531064 (Spamster) & #8368226 (Eunhee)
Your cat scratched me.,네 고양이가 날 할퀴었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3822753 (CK) & #8369648 (Eunhee)
Tom is having a hard time speaking.,톰은 말하는 데 어려움을 겪고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6256309 (CK) & #8421407 (Eunhee)
Turn around.,돌아.,CC-BY 2.0 (France) Attribution: tatoeba.org #464282 (lukaszpp) & #8386255 (Eunhee)
I've had a very busy day.,아주 바쁜 나날을 보내던 참이었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #5272431 (CK) & #8365868 (Eunhee)
Do you have a passport?,여권 있습니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #4497938 (CK) & #8398461 (Eunhee)
My brother is a professor.,내 오빠는 교수야.,CC-BY 2.0 (France) Attribution: tatoeba.org #873456 (CM) & #8396639 (Eunhee)
Nice timing.,타이밍 좋네.,CC-BY 2.0 (France) Attribution: tatoeba.org #1329340 (Scott) & #8368187 (Eunhee)
Tom is quite a guy.,톰은 별난 녀석이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8366902 (CK) & #8367071 (Eunhee)
Our new car is not very big.,우리의 새 차는 그렇게 크지는 않다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1583734 (fanty) & #1587171 (JanAson)
Tom wanted a bigger discount.,톰은 더 할인해 주기를 원했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2849905 (CK) & #4963079 (rainbow4us)
It's fun to travel.,여행은 재미있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #325560 (CK) & #11106400 (intertime)
I tried to act standoffish.,난 도도한 척 하려고 노력했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7782478 (CK) & #8363187 (Eunhee)
What do you remember about last night?,어젯밤에 대해 기억나는 게 뭐야?,CC-BY 2.0 (France) Attribution: tatoeba.org #10604804 (CK) & #10605436 (ssuss32)
It was disappointing.,그것은 실망스러웠다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4497339 (CK) & #5526652 (raining211)
Tom looks pretty sleepy.,톰은 상당히 졸려 보인다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3409236 (CK) & #5526775 (raining211)
Tom never did like Mary.,톰은 메리를 사랑했던 적이 없다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6440032 (CK) & #11597239 (cherryband)
Do you like fish?,생선 좋아해요?,CC-BY 2.0 (France) Attribution: tatoeba.org #19349 (CK) & #5383168 (rainbow4us)
Cats have nine lives.,고양이는 아홉 개의 목숨을 지니고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #453045 (CM) & #11105886 (intertime)
Duck!,숙여!,CC-BY 2.0 (France) Attribution: tatoeba.org #280158 (CM) & #11106942 (intertime)
Tom is bedridden now.,톰은 지금 몸져 누워 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8370162 (CK) & #8501830 (Eunhee)
I wasn't comfortable with the situation.,난 이 상황에 익숙하지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #8529608 (CK) & #8533700 (Eunhee)
I can't go any farther.,나는 더 이상 멀리 갈 수 없다.,CC-BY 2.0 (France) Attribution: tatoeba.org #255743 (CK) & #10585550 (ssuss32)
You can learn French.,넌 프랑스어를 배울 수 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8407366 (CK) & #8410343 (Eunhee)
"At that time, I was still awake.",그때 나는 여전히 깨어 있었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #47827 (CK) & #11106139 (intertime)
This is a little weird.,이건 좀 이상하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3732687 (CK) & #11106541 (intertime)
Squirrels often chase other squirrels.,다람쥐는 가끔 다른 다람쥐를 쫓아다니곤 해.,CC-BY 2.0 (France) Attribution: tatoeba.org #8215453 (Hybrid) & #8472798 (Eunhee)
Is Tom with you?,톰이랑 같이 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886872 (CK) & #10163048 (Eunhee)
He's addicted to drugs.,그 사람은 마약 중독자야.,CC-BY 2.0 (France) Attribution: tatoeba.org #1855197 (Spamster) & #8361822 (Eunhee)
She lives nearby.,그녀는 근처에 산다.,CC-BY 2.0 (France) Attribution: tatoeba.org #494742 (mikeprit) & #11105654 (intertime)
He quit school last week.,그는 지난주에 학교를 그만뒀어.,CC-BY 2.0 (France) Attribution: tatoeba.org #300633 (CK) & #8394157 (Eunhee)
What's that?,저건 뭐야?,CC-BY 2.0 (France) Attribution: tatoeba.org #66989 (CK) & #4739155 (kumdonghee)
I was popular in high school.,난 고등학교에서 인기가 있었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #5851137 (CK) & #8394166 (Eunhee)
Have you gone nuts?,너 정신나갔어?,CC-BY 2.0 (France) Attribution: tatoeba.org #487626 (minshirui) & #11105589 (intertime)
Exercise outdoors.,밖에서 운동해.,CC-BY 2.0 (France) Attribution: tatoeba.org #1293081 (CK) & #8363336 (Eunhee)
"Mom, where's the cat?","엄마, 고양이 어딨어?",CC-BY 2.0 (France) Attribution: tatoeba.org #1694966 (CM) & #8364981 (Eunhee)
I hope you tore up my last letter.,내 마지막 편지는 찢어 버렸길 바란다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3060632 (sharptoothed) & #4967600 (rainbow4us)
You should quit smoking.,당신은 금연해야 한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #495668 (CK) & #11105578 (intertime)
I am in Tokyo today.,나는 오늘 도쿄에 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #257596 (CK) & #11106354 (intertime)
Stop talking.,그만 말해.,CC-BY 2.0 (France) Attribution: tatoeba.org #277720 (CK) & #8363294 (Eunhee)
I know what you are thinking.,당신이 무슨 생각을 하고 있는지 알고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1723695 (Spamster) & #11106587 (intertime)
Check again.,다시 확인해.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111940 (CK) & #8368388 (Eunhee)
I knew that Tom didn't want to do that again.,난 톰이 저걸 다시는 하기 싫어한다는 걸 알고 있었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7511814 (CK) & #8358633 (Eunhee)
Tom has low blood pressure.,톰은 저혈압이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1025358 (CK) & #6304953 (Queserasera)
Foxes are my favorite animal.,여우는 내가 가장 좋아하는 동물이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8234829 (meshbags) & #8363219 (Eunhee)
I think I'll buy a new car.,차를 새로 살 생각이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1318679 (CK) & #11106413 (intertime)
Tom drove.,톰이 운전했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111185 (CK) & #8368290 (Eunhee)
Is he busy?,그 사람 바쁜가요?,CC-BY 2.0 (France) Attribution: tatoeba.org #303692 (CK) & #11105273 (intertime)
I just need to stay calm.,나는 단지 차분해질 필요가 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3724831 (CM) & #8361784 (Eunhee)
Tom doesn't drink alcoholic drinks at all.,톰은 알코올이라면 전혀 입에 대지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #1094534 (CK) & #8366846 (Eunhee)
You should do that by yourself.,너는 네 손으로 그것을 해야 한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3402246 (CK) & #11110710 (intertime)
